Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA Healthcare,Chrome 109.0.0.0,,,2023-01-17 19:18:45,2023-01-17 19:19:06,20.795s,PASSED
,,,,,,,
Test Cases/OrangeHRM/CURA Healthcare,Chrome 109.0.0.0,,,2023-01-17 19:18:45,2023-01-17 19:19:06,20.213s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-17 19:18:46,2023-01-17 19:18:51,5.451s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-01-17 19:18:51,2023-01-17 19:18:52,0.806s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 109.0.0.0,,,2023-01-17 19:18:52,2023-01-17 19:18:53,0.920s,PASSED
"setText(findTestObject(""CURA Healthcare/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 109.0.0.0,,,2023-01-17 19:18:53,2023-01-17 19:18:54,1.233s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 109.0.0.0,,,2023-01-17 19:18:54,2023-01-17 19:18:55,0.587s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/button_Login""))",Chrome 109.0.0.0,,,2023-01-17 19:18:55,2023-01-17 19:18:56,0.844s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 109.0.0.0,,,2023-01-17 19:18:56,2023-01-17 19:18:57,1.402s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 109.0.0.0,,,2023-01-17 19:18:57,2023-01-17 19:18:58,0.591s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 109.0.0.0,,,2023-01-17 19:18:58,2023-01-17 19:18:58,0.495s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Chrome 109.0.0.0,,,2023-01-17 19:18:58,2023-01-17 19:18:59,0.859s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/td_18""))",Chrome 109.0.0.0,,,2023-01-17 19:18:59,2023-01-17 19:19:00,0.692s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/textarea_Comment_comment""), ""test"")",Chrome 109.0.0.0,,,2023-01-17 19:19:00,2023-01-17 19:19:02,2.219s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 109.0.0.0,,,2023-01-17 19:19:02,2023-01-17 19:19:03,0.868s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 109.0.0.0,,,2023-01-17 19:19:03,2023-01-17 19:19:04,0.659s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-17 19:19:04,2023-01-17 19:19:06,1.919s,PASSED
